"CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","B001_01","B001_02","B001_03","B001_04","B001_05","B001_06","B001_07","B001_08","B001_09","B001_10","B001_11","B001_12","B001_13","B001_14","B001_15","B001_16","B001_17","B001_18","B001_19","B001_20","B001_21","B001_22","B001_23","B001_24","B001_25","B001_26","B001_27","B001_28","B001_29","B001_30","B001_31","B001_32","B001_33","B001_34","B001_35","B001_36","B001_37","B001_38","B001_39","B001_40","B001_41","B001_42","B002_01","B002_02","B002_03","B002_04","B002_05","B002_06","B002_07","B002_08","B002_09","B002_10","B002_11","B002_12","B002_13","B002_14","B002_15","B002_16","B003_01","DS02","EV01_01","EV02_01","EV03_01","EV04","EV04_01","EV04_02","EV04_03","EV04_04","EV05_01","H001_01","H001_02","H001_03","H001_04","H001_05","H001_06","H001_07","H001_08","H001_09","H001_10","H001_11","H001_12","H001_13","H001_14","H001_15","H001_16","H001_17","H001_18","H001_19","H001_20","H001_21","H001_22","H001_23","H001_24","H001_25","H001_26","H001_27","H001_28","H001_29","H001_30","H001_31","H001_32","H001_33","H001_34","H001_35","H001_36","H001_37","H001_38","H001_39","H001_40","H001_41","H001_42","H002_01","H002_02","H002_03","H002_04","H002_05","H002_06","H002_07","H002_08","H002_09","H002_10","H002_11","H002_12","H002_13","H002_14","H002_15","H002_16","H003_01","KE01_01","KE01_02","KE01_03","KE01_04","KE02_01","KE03","L001_01","L001_02","L001_03","L001_04","L001_05","L001_06","L001_07","L001_08","L001_09","L001_10","L001_11","L001_12","L001_13","L001_14","L001_15","L001_16","L001_17","L001_18","L001_19","L001_20","L001_21","L001_22","L001_23","L001_24","L001_25","L001_26","L001_27","L001_28","L001_29","L001_30","L001_31","L001_32","L001_33","L001_34","L001_35","L001_36","L001_37","L001_38","L001_39","L001_40","L001_41","L001_42","L002_01","L002_02","L002_03","L002_04","L002_05","L002_06","L002_07","L002_08","L002_09","L002_10","L002_11","L002_12","L002_13","L002_14","L002_15","L002_16","L003_01","RA01_CP","RA01","S006","S007","SB01","SB02","SD01","SD02_01","SD11","SD11_10","SD15_01","SD15_01a","SD17","SH01","SH02","SI01_01","SI01_02","SI01_03","SI01_04","SI01_05","SI01_06","SI01_07","SI01_08","SL01","SL02","SM01_01","SM01_02","SM01_03","SM01_04","SM01_05","SM01_06","SM01_07","SM01_08","SM01_09","SM01_10","SM01_11","SM01_12","SM01_13","SM01_14","SW01","SW02","VP03_01","W001_01","W001_02","W001_03","W001_04","W001_05","W001_06","W001_07","W001_08","W001_09","W001_10","W001_11","W001_12","W001_13","W001_14","W001_15","W001_16","W001_17","W001_18","W001_19","W001_20","W001_21","W001_22","W001_23","W001_24","W001_25","W001_26","W001_27","W001_28","W001_29","W001_30","W001_31","W001_32","W001_33","W001_34","W001_35","W001_36","W001_37","W001_38","W001_39","W001_40","W001_41","W001_42","W002_01","W002_02","W002_03","W002_04","W002_05","W002_06","W002_07","W002_08","W002_09","W002_10","W002_11","W002_12","W002_13","W002_14","W002_15","W002_16","W003_01","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME014","TIME015","TIME016","TIME017","TIME018","TIME019","TIME020","TIME021","TIME022","TIME023","TIME024","TIME025","TIME026","TIME027","TIME028","TIME029","TIME030","TIME031","TIME032","TIME033","TIME034","TIME035","TIME036","TIME037","TIME038","TIME039","TIME040","TIME_SUM","MAILSENT","LASTDATA","STATUS","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI"
496,,,"base","interview",2025-07-16 09:13:48,5,5,4,1,5,5,5,1,1,4,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,1,4,1,1,1,1,4,1,5,5,5,1,1,1,1,5,5,5,5,1,3,3,"Nichts",1,,,,0,1,1,1,1,,2,1,2,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,2,1,"Langeweile",2,2,1,1,,2,1,3,1,1,4,1,1,1,1,3,1,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,4,5,4,1,1,1,"Nichts",4,3,6,4,6,5,2,27,10,"Staatsexamen","Jurist",1,2,6,5,4,1,1,1,3,1,1,1,6,5,4,2,3,3,5,5,4,1,1,1,1,1,2,1,6,5,"B9oYaBjkhc",4,4,3,1,5,4,4,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,3,1,1,1,4,1,2,1,1,4,1,5,4,5,1,1,1,1,4,4,5,5,1,5,1,"Interesse",149,15,59,89,7,,25,56,33,30,88,8,20,,50,25,30,97,11,25,,45,20,29,69,12,,52,126,41,61,125,35,48,11,69,98,6,5,5,1455,,2025-07-16 09:41:42,,1,0,40,40,2,1,1.1
521,,,"base","interview",2025-07-16 16:35:19,4,3,3,2,3,4,3,3,2,3,2,2,3,3,3,2,1,1,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,3,2,1,1,1,3,3,3,3,2,1,1,1,2,2,1,3,2,1,2,2,"Ruhig",1,,"Ob Leute mit schizophrenen Tendenzen Kunst mit ähnlichen Tendenzen schöner finden","nö ",0,1,1,1,1,,2,2,2,1,2,2,2,1,1,1,2,4,2,2,2,1,1,1,3,2,1,1,1,1,1,1,2,1,2,3,2,1,4,2,3,2,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,2,2,3,3,2,3,1,"Gleichgültigkeit",2,1,3,3,"Musiker",1,2,2,1,2,1,2,2,1,2,2,1,3,2,2,2,1,1,1,3,2,1,2,1,1,2,1,1,1,2,3,2,2,4,2,2,1,3,2,1,1,1,2,2,3,3,2,3,2,1,1,1,2,2,3,3,1,4,1,"Unbehagen",5,5,8,5,9,5,2,25,7,,,-1,2,8,5,2,1,1,1,3,1,1,1,8,5,1,1,2,2,1,2,3,3,3,2,4,1,1,1,8,5,"yPRmokyKuh",2,4,2,2,2,2,2,2,1,4,3,3,3,2,2,2,1,1,2,2,1,2,1,1,1,1,2,1,2,3,2,2,3,2,3,2,3,2,1,1,1,1,2,3,2,2,2,1,1,1,1,2,4,4,4,1,2,1,"Verwirrung",9,6,14,28,4,29,,38,28,21,49,3,,44,36,28,34,58,8,34,,35,20,25,50,3,,27,37,28,25,40,5,30,22,53,80,88,31,40,1081,,2025-07-16 16:53:50,,1,0,40,40,1,0,1.42
531,,,"base","interview",2025-07-16 21:39:03,4,2,1,1,5,4,5,1,1,4,4,1,3,3,4,1,1,1,1,1,1,1,2,2,1,3,2,3,4,3,2,2,1,4,1,3,1,4,1,3,1,1,1,3,4,4,5,1,1,1,1,4,4,5,5,2,3,3,"Interesse, Ambivalenz",1,,,,0,1,1,1,1,,2,3,1,1,4,2,5,1,1,3,4,1,2,3,1,1,1,1,1,1,1,1,2,2,1,2,3,1,5,3,4,1,1,4,1,3,1,4,1,2,1,1,1,3,2,2,4,1,1,1,1,4,4,5,4,1,4,1,"Lebendigkeit",2,1,2,3,,2,2,4,3,2,5,3,4,2,1,4,4,1,3,3,4,2,2,1,1,1,1,1,4,4,1,2,4,2,2,4,4,1,1,3,1,3,1,4,1,3,1,1,2,4,5,4,3,1,1,1,1,4,4,5,5,2,4,1,"Neugierde, Beklommenheit",5,4,6,3,6,4,1,20,7,,,-1,2,6,4,1,1,1,1,1,1,1,1,6,4,1,1,1,1,1,2,2,1,1,1,1,1,1,1,6,3,"vbbvcwLeP3",4,5,2,1,5,4,4,3,2,4,4,1,2,3,2,2,1,2,1,1,1,1,2,2,1,3,4,2,3,4,3,2,1,4,1,3,1,5,1,2,1,1,3,3,5,5,5,1,1,1,1,4,5,5,5,2,3,2,"Überflutet von Eindrücken",16,9,12,22,5,16,,85,25,98,52,9,,16,55,25,24,43,9,,63,52,34,34,56,11,17,,35,24,26,181,8,24,9,21,41,4,24,7,1127,,2025-07-16 21:58:56,,1,0,40,40,2,1,1.43
535,,,"base","interview",2025-07-17 11:20:39,4,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,3,1,1,1,2,3,3,4,2,1,1,1,1,1,2,3,2,1,1,1,"Überraschung",1,,"nein",,0,1,1,1,1,,1,1,1,1,1,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,3,1,2,2,2,1,"fühlt sich erschlagend an, was aber wahrscheinlich daran liegt, dass man hier nicht zwei Schritte weiter weg treten kann ",2,3,1,3,,2,2,4,1,1,5,3,1,1,1,4,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,3,1,1,3,1,2,3,1,1,3,1,1,2,4,5,3,4,1,1,1,4,3,3,3,3,1,3,1,"Vorwurf",6,5,7,1,6,2,1,24,7,,,-1,2,5,3,1,1,1,1,1,1,1,1,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,"hfAnPviAOt",3,1,1,1,4,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,4,5,1,1,1,"Überforderung",9,11,31,31,4,35,,48,26,46,123,9,,29,50,28,33,103,8,64,,149,63,69,153,23,,40,77,31,70,87,10,29,24,39,39,57,6,4,1560,,2025-07-17 11:48:19,,1,0,40,40,1,0,1.07
538,,,"base","interview",2025-07-17 11:27:25,5,5,5,1,5,5,5,3,4,5,4,1,5,5,4,4,1,3,1,2,1,3,1,1,1,1,2,1,2,2,4,2,2,5,1,4,1,5,3,5,1,2,5,4,5,5,5,2,1,1,1,5,5,5,5,3,4,5,"Großes Interesse und Faszination",1,"bild 3 fand ich außergewöhnlich faszinierend ","Wahrnehmung von Kunst psychisch kranker ",,0,1,1,1,1,,4,4,4,2,4,4,5,4,4,4,5,1,5,4,1,4,1,4,1,1,1,2,1,1,1,1,1,1,5,2,3,3,1,5,1,4,1,5,4,4,4,2,4,4,5,5,5,2,1,1,3,5,5,5,5,4,4,4,"Begeisterung, Interesse an der Idee der Künstlerin",4,2,2,4,,2,3,4,2,2,2,2,1,1,2,3,1,3,3,1,1,1,1,1,3,2,1,1,1,2,1,1,3,1,4,4,1,1,4,2,1,1,2,2,1,1,1,1,4,2,4,2,1,1,4,1,1,4,4,4,4,2,4,1,"Unverständnis des Stils",6,3,6,2,8,6,2,23,8,,"Jurist",1,2,6,6,2,1,1,1,1,1,1,1,7,4,1,2,2,1,1,1,2,1,1,1,1,1,1,1,5,5,"jGu7oNpQ3Q",3,5,2,1,4,3,4,3,3,4,2,2,4,3,2,2,1,3,1,3,1,2,1,4,1,1,2,1,4,2,1,2,3,3,1,2,1,3,2,2,1,1,4,2,4,2,4,1,1,1,1,2,4,3,3,1,4,1,"Verwirrung, Irritation",9,4,17,10,9,,51,54,36,36,89,14,38,,46,37,33,80,9,51,,45,27,31,78,26,,148,59,36,34,70,9,29,49,74,82,23,10,8,1359,,2025-07-17 11:51:46,,1,0,40,40,1,0,1.14
539,,,"base","interview",2025-07-17 11:40:04,1,2,1,1,2,1,1,1,1,4,1,3,1,1,1,1,1,1,3,1,1,1,3,4,3,1,2,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,3,3,4,1,1,1,"Ich habe keine Gefühle dem Werk gegenüber",1,"Bild 1 macht mir Angst ","Zusammenhang zwischen der psychischen Gesundheit eines Künstlers und seinen Werken?",,0,1,1,1,1,,2,1,2,3,1,1,2,2,2,1,3,5,2,2,1,1,1,1,1,1,1,1,1,4,2,1,3,1,1,3,1,1,2,1,5,1,1,1,1,1,1,2,3,1,3,1,1,1,1,1,3,4,4,3,3,1,3,1,"Ich finde es zu chaotisch ",1,1,3,3,,2,1,1,1,1,1,1,1,1,1,2,1,5,1,1,1,1,3,1,2,1,1,1,1,3,4,1,4,1,1,4,1,1,2,1,4,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,3,2,3,2,1,"Ich finde es gruselig ",6,4,6,2,5,2,1,26,7,,,-1,2,4,4,2,1,1,1,3,2,1,1,3,5,1,1,3,2,4,3,3,1,1,2,1,1,1,1,5,3,"gY8VPUAa3P",1,2,1,1,3,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,1,1,1,4,1,1,3,1,1,4,1,1,1,1,2,1,3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,3,4,4,4,2,2,1,"Zu chaotisch",23,12,28,22,6,18,,34,26,24,322,8,,73,60,33,28,92,11,,39,110,114,29,48,7,19,,30,31,31,40,8,20,36,52,73,45,20,18,1270,,2025-07-17 12:06:35,,1,0,40,40,1,0,1.14
540,,,"base","interview",2025-07-17 13:48:50,4,4,3,4,4,4,3,2,3,4,4,2,3,3,4,2,2,3,2,4,3,2,3,2,2,4,4,3,4,4,4,3,1,4,1,4,3,4,3,4,1,2,5,3,4,4,4,4,4,3,3,3,4,4,4,4,3,4,"Interesse, Tiefe ",1,"Nein - aber nr 3 gut gefallen ","Nein ",,1,2,1,1,1,"Museum - neue Sachlichkeit ",4,3,4,4,3,3,3,2,2,3,3,3,2,2,2,2,2,3,3,4,2,3,1,4,1,2,3,1,4,2,2,2,4,3,1,2,2,3,3,1,1,3,2,2,3,3,2,3,2,3,3,2,2,2,3,2,3,2,"Etwas langweilig, aber positiv ",4,4,3,2,,2,2,4,2,3,4,3,3,1,2,4,3,2,4,3,4,2,3,3,1,3,2,2,3,4,2,4,3,2,3,4,3,2,2,3,2,4,4,4,1,2,2,1,4,2,4,3,3,2,1,1,2,4,4,4,3,3,4,3,"Interesse, aber auch eine gewisse Abscheu ",7,5,7,7,7,3,2,25,8,,"Jura",1,2,6,3,2,1,1,1,2,2,3,2,6,5,2,2,2,1,1,1,1,2,1,2,2,3,1,1,5,2,"WWoLce3dYQ",1,3,2,3,4,2,3,2,2,3,3,4,4,2,3,2,3,2,3,2,2,2,3,3,3,2,3,2,4,3,1,2,2,2,3,2,3,3,2,1,2,3,2,1,2,2,1,2,1,1,4,1,2,4,4,2,4,1,"Überforderung, gewisse Gleichgültigkeit ",6,13,35,53,4,32,,42,37,37,94,6,,49,42,40,45,99,15,70,,81,91,82,110,20,,48,48,52,42,94,14,37,63,61,79,10,4,9,1611,,2025-07-17 14:16:34,,1,0,40,40,1,0,1.01
553,,,"base","interview",2025-07-18 08:25:22,3,3,2,2,3,3,4,2,2,3,3,2,4,3,4,3,1,3,2,2,2,2,3,4,1,3,3,3,3,3,3,3,2,3,2,3,2,3,2,2,2,1,3,3,4,4,4,4,2,2,3,2,4,4,4,3,3,2,"Dass Traurigkeit/dunkle Tage auch immer etwas schönes besitzt.",1,,,,0,1,1,1,1,,3,4,3,2,4,3,3,2,3,3,4,1,4,2,3,3,2,2,1,2,3,1,1,2,1,2,2,1,3,2,3,2,1,3,1,3,2,3,2,3,3,1,4,4,3,3,3,3,2,2,2,3,3,3,2,3,3,2,"Die Welt ist vielfältig - offen?",3,2,3,3,,2,2,2,1,2,4,2,4,1,2,3,3,2,3,2,3,2,2,2,2,2,2,1,2,2,2,2,3,1,3,2,3,2,1,2,1,2,2,2,1,3,2,1,3,4,4,4,4,3,1,1,2,3,2,3,3,2,3,2,"Einsamkeit",7,4,4,4,5,4,1,29,8,,"Sozialpädagogin ",1,2,5,4,2,2,1,1,1,1,1,1,4,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,4,"UoFgvGd2cA",3,4,2,2,3,2,3,2,2,4,4,3,4,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,3,4,3,2,2,3,1,3,2,3,2,2,2,2,2,3,2,2,3,2,2,2,2,3,3,3,4,2,4,1,"Verwirrung",3991,5,21,30,4,40,,47,32,28,78,7,,17,33,38,21,74,5,,20,40,24,25,51,8,19,,71,24,28,36,6,15,11,36,43,6,13,5,977,,2025-07-18 09:47:56,,1,0,40,40,2,1,1.55
561,,,"base","interview",2025-07-18 14:23:38,3,2,3,1,1,3,3,3,2,4,2,2,4,4,3,2,4,3,1,4,3,3,4,5,1,4,5,1,3,5,1,1,3,4,1,4,4,3,1,3,1,1,5,3,4,3,2,2,2,2,2,2,2,3,2,4,5,1,"ein starkes Gefühl der Dissoziation. Es sollte nicht existieren.",1,"zeitlose Schönheit","wie die verschiedenen Kunstwerken bei den verschiedenen Personen bewirken.","Ich habe viele Fachwörter dadurch kennengelernt. Und gleichzeitig bin ich neugierig auf die Ergebnisse.",0,1,1,1,1,"Ich besuche gerne Museen auf der ganzen Welt, und besonders gefallen mir die Darstellung von Pflanzen oder Insekten. Sie vermitteln für mich ein Gefühl von zeitloser Schönheit.",3,3,3,3,3,3,3,3,3,1,1,1,2,2,1,2,1,3,4,2,1,2,1,1,1,1,1,3,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,1,2,1,"kein besonderes Gefühl, das Bild ist für mich normal.",3,3,4,2,"Kunst ist mir ein Werkzeug, mit dem ich die Welt ausdrücken kann. Es ist ganz privat. Man kann damit abstrakte Dinge hervorholen, deren man sich vielleicht selbst nicht bewusst ist oder die man nicht versteht.",2,5,2,2,1,5,3,3,4,2,3,3,1,5,1,1,3,4,4,1,4,3,3,1,1,4,4,1,3,4,4,2,3,1,4,1,1,1,5,1,4,1,3,5,3,5,3,3,3,1,1,5,5,3,4,3,4,5,1,"Die Kraft der weiblichen Figuren darin hat mich tief beeindruckt.",7,3,6,2,3,4,1,38,8,,"hausfrau",1,2,5,2,1,3,1,1,4,3,3,4,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,3,6,3,,5,3,5,3,3,5,3,4,3,3,1,1,3,3,1,4,1,3,1,3,3,4,3,1,1,1,1,3,1,1,1,2,1,3,1,2,2,3,3,1,1,1,3,3,4,4,3,2,3,3,3,3,3,3,3,3,3,4,"sehr ruhig",139,39,81,58,4,,86,152,103,95,251,11,73,,96,65,59,92,7,134,,152,45,95,134,6,,82,142,111,74,103,10,277,275,112,67,237,144,,1993,,2025-07-18 15:23:49,,0,0,39,39,0,0,0.55
562,,,"base","interview",2025-07-18 15:13:30,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1,1,3,1,1,3,1,"widerwillen",1,,"nein, oft sind solche Ziele nicht genau beschrieben, um das Ergebnis nicht zu beeinflussen",,0,1,1,1,1,,4,3,3,3,1,4,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,2,1,1,1,1,1,1,4,1,1,1,1,1,1,3,2,1,1,3,1," angenehme Farben lassen mich an Sonne Strand und Meer denken",1,1,3,3,,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,"lässt mich kalt",7,6,7,3,6,3,4,45,8,,"Assistent",1,2,6,3,1,1,3,1,2,1,1,3,6,3,1,1,3,1,1,1,5,3,3,2,1,1,1,1,6,3,"yUMRc8miqP",1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,"erinnert an an Bilder, die man in der Schule oder bei längeren Telefonaten während des zuhörens malt",12,20,43,104,4,18,,36,35,30,157,5,,24,113,26,279,168,12,24,,46,18,16,85,7,,26,37,18,18,191,7,21,33,78,58,113,19,197947,1529,,2025-07-18 15:45:11,,0,0,39,40,1,0,1.13
